Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...edpics/otherreplicates/flat_rep2_4x_stitched_stack-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...edpics/otherreplicates/flat_rep2_4x_stitched_stack-MaxIP-fit
0.000000000,0.012366983,0.010503538
2.022471910,0.012028339,0.010755788
4.044943820,0.012127103,0.011033936
6.067415730,0.012702994,0.011337178
8.089887640,0.012925878,0.011663928
10.112359551,0.013073384,0.012011746
12.134831461,0.013048455,0.012377311
14.157303371,0.013238769,0.012756419
16.179775281,0.012919424,0.013144023
18.202247191,0.012829365,0.013534308
20.224719101,0.012738960,0.013920821
22.247191011,0.013554127,0.014296622
24.269662921,0.013600537,0.014654488
26.292134831,0.013928997,0.014987130
28.314606742,0.014045593,0.015287440
30.337078652,0.015036258,0.015548741
32.359550562,0.015261759,0.015765030
34.382022472,0.015511528,0.015931208
36.404494382,0.015373755,0.016043281
38.426966292,0.015975354,0.016098519
40.449438202,0.016483758,0.016095565
42.471910112,0.016950764,0.016034491
44.494382022,0.016489650,0.015916797
46.516853933,0.015226550,0.015745347
48.539325843,0.015535513,0.015524255
50.561797753,0.015516369,0.015258721
52.584269663,0.015323788,0.014954826
54.606741573,0.015376154,0.014619304
56.629213483,0.015685920,0.014259292
58.651685393,0.014699618,0.013882081
60.674157303,0.014127807,0.013494878
62.696629213,0.014121415,0.013104580
64.719101124,0.012608243,0.012717583
66.741573034,0.012565716,0.012339629
68.764044944,0.012074990,0.011975683
70.786516854,0.012102954,0.011629861
72.808988764,0.011256631,0.011305394
74.831460674,0.010656052,0.011004632
76.853932584,0.010358004,0.010729081
78.876404494,0.009858831,0.010479467
80.898876404,0.009682763,0.010255820
82.921348315,0.009297658,0.010057578
84.943820225,0.008734521,0.009883690
86.966292135,0.008464904,0.009732724
88.988764045,0.008518008,0.009602980
91.011235955,0.008189129,0.009492580
93.033707865,0.007678355,0.009399559
95.056179775,0.007447027,0.009321938
97.078651685,0.007628516,0.009257787
99.101123596,0.007565563,0.009205270
101.123595506,0.007762778,0.009162680
103.146067416,0.007597498,0.009128462
105.168539326,0.007423363,0.009101224
107.191011236,0.007458629,0.009079741
109.213483146,0.007575262,0.009062952
111.235955056,0.007649589,0.009049949
113.258426966,0.007468778,0.009039970
115.280898876,0.007474585,0.009032380
117.303370787,0.007418340,0.009026659
119.325842697,0.007333036,0.009022384
121.348314607,0.007821247,0.009019219
123.370786517,0.007789394,0.009016896
125.393258427,0.007633431,0.009015206
127.415730337,0.007842163,0.009013987
129.438202247,0.007969431,0.009013116
131.460674157,0.007657195,0.009012498
133.483146067,0.008060097,0.009012065
135.505617978,0.008257218,0.009011763
137.528089888,0.008142389,0.009011554
139.550561798,0.008306231,0.009011411
141.573033708,0.008315498,0.009011315
143.595505618,0.008866806,0.009011249
145.617977528,0.008974301,0.009011206
147.640449438,0.008986137,0.009011177
149.662921348,0.009445793,0.009011159
151.685393258,0.009703897,0.009011146
153.707865169,0.009953500,0.009011138
155.730337079,0.009917414,0.009011133
157.752808989,0.010199284,0.009011130
159.775280899,0.010656884,0.009011128
161.797752809,0.010936886,0.009011127
163.820224719,0.011187965,0.009011126
165.842696629,0.011075662,0.009011126
167.865168539,0.011542019,0.009011125
169.887640449,0.011788911,0.009011125
171.910112360,0.012040031,0.009011125
173.932584270,0.012222481,0.009011125
175.955056180,0.012340077,0.009011125
177.977528090,0.012326086,0.009011125
180.000000000,0.012366983,0.009011125
