Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...chedpics/otherreplicates/25_rep2_4x_stitched_stack-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...chedpics/otherreplicates/25_rep2_4x_stitched_stack-MaxIP-fit
0.000000000,0.009396663,0.008458668
2.022471910,0.008853819,0.008458668
4.044943820,0.008773255,0.008458668
6.067415730,0.008764593,0.008458670
8.089887640,0.008905321,0.008458673
10.112359551,0.008961991,0.008458680
12.134831461,0.008830515,0.008458697
14.157303371,0.009030089,0.008458732
16.179775281,0.008916234,0.008458809
18.202247191,0.009003814,0.008458969
20.224719101,0.008786559,0.008459292
22.247191011,0.008590085,0.008459931
24.269662921,0.008740748,0.008461156
26.292134831,0.008870832,0.008463449
28.314606742,0.008670284,0.008467622
30.337078652,0.008732978,0.008475016
32.359550562,0.008788384,0.008487768
34.382022472,0.008765387,0.008509167
36.404494382,0.008839481,0.008544104
38.426966292,0.008857461,0.008599582
40.449438202,0.009385908,0.008685255
42.471910112,0.009808555,0.008813873
44.494382022,0.010021713,0.009001526
46.516853933,0.010223346,0.009267499
48.539325843,0.010425663,0.009633547
50.561797753,0.011276934,0.010122436
52.584269663,0.011534553,0.010755642
54.606741573,0.011947540,0.011550269
56.629213483,0.013630297,0.012515386
58.651685393,0.013917223,0.013648225
60.674157303,0.014436841,0.014930835
62.696629213,0.015508316,0.016327914
64.719101124,0.017038634,0.017786498
66.741573034,0.019308303,0.019238006
68.764044944,0.019523280,0.020602830
70.786516854,0.020702148,0.021797170
72.808988764,0.022367576,0.022741377
74.831460674,0.023505718,0.023368685
76.853932584,0.024033026,0.023633004
78.876404494,0.025763858,0.023514517
80.898876404,0.023447311,0.023022137
82.921348315,0.021526252,0.022192396
84.943820225,0.020966901,0.021084967
86.966292135,0.019845533,0.019775574
88.988764045,0.019684207,0.018347463
91.011235955,0.017204908,0.016882759
93.033707865,0.014270169,0.015454941
95.056179775,0.013096860,0.014123336
97.078651685,0.012164292,0.012930095
99.101123596,0.011286094,0.011899646
101.123595506,0.010886059,0.011040224
103.146067416,0.010520541,0.010346857
105.168539326,0.010053062,0.009805065
107.191011236,0.009467261,0.009394644
109.213483146,0.009306207,0.009093006
111.235955056,0.009020351,0.008877790
113.258426966,0.008922626,0.008728643
115.280898876,0.008643953,0.008628208
117.303370787,0.008635499,0.008562464
119.325842697,0.008639176,0.008520620
121.348314607,0.008684073,0.008494717
123.370786517,0.008533155,0.008479118
125.393258427,0.007878976,0.008469978
127.415730337,0.007616000,0.008464766
129.438202247,0.007072890,0.008461873
131.460674157,0.006977492,0.008460310
133.483146067,0.007162175,0.008459488
135.505617978,0.007217846,0.008459067
137.528089888,0.007185676,0.008458857
139.550561798,0.007282576,0.008458755
141.573033708,0.007144494,0.008458707
143.595505618,0.007552777,0.008458685
145.617977528,0.007762595,0.008458675
147.640449438,0.007760278,0.008458671
149.662921348,0.008030243,0.008458669
151.685393258,0.007848481,0.008458668
153.707865169,0.007968031,0.008458668
155.730337079,0.008167698,0.008458668
157.752808989,0.008225438,0.008458667
159.775280899,0.008115730,0.008458667
161.797752809,0.008237363,0.008458667
163.820224719,0.008262072,0.008458667
165.842696629,0.008321682,0.008458667
167.865168539,0.008722193,0.008458667
169.887640449,0.008744057,0.008458667
171.910112360,0.008666684,0.008458667
173.932584270,0.008772211,0.008458667
175.955056180,0.008844094,0.008458667
177.977528090,0.008821166,0.008458667
180.000000000,0.009396663,0.008458667
