Stamp_Parameters,rep,location,mean_angle,stdd,goodness_of_fit,percent_near90,Category
12.5,1,,84.40371906125056,17.085407096253544,0.1712782236724099,0.512374101,grooved
12.5,2,,73.43420037215147,24.223943672987623,0.1899058764581445,0.486702602,grooved
12.5,3,,82.3708616256537,19.531413347486044,0.1777559014357193,0.518330971,grooved
25,1,,76.73692291973659,20.647166800433112,0.2043890845024889,0.5537125330000001,grooved
25,2,,73.50100345781975,23.04084269522708,0.1994183689942168,0.5094144030000001,grooved
25,3,,79.8970201927171,18.483628813756976,0.1908609133699751,0.56217458,grooved
62.5,1,,76.9909593166614,25.078689926764604,0.1596755189073408,0.460904103,grooved
62.5,2,,74.39062369909429,25.366964663796782,0.1617969696562945,0.4564586010000001,grooved
62.5,3,,85.48081952715596,26.509037936371733,0.0940161412244867,0.370322121,grooved
125,1,,75.15330635782321,20.03679093178945,0.2106446677156785,0.5561216349999999,grooved
125,2,,79.05313543598383,19.93956013269902,0.1725090708384052,0.512230367,grooved
125,3,,79.18801317928555,18.40124332608008,0.1896747316584244,0.5619295860000001,grooved
flat,1,,68.78179673458666,31.87575810458273,0.092200504385984,0.3814978179999999,ungrooved
flat,2,,117.3235233801376,18.81017712314656,0.0981051399750045,0.269090869,ungrooved
flat,3,,35.72697076307686,21.69103419231365,0.1371615820263626,0.212785239,ungrooved
unstamped,1,,107.02011394680912,19.426680329264137,0.0235925333675423,0.225536208,ungrooved
unstamped,2,,51.71065635367103,27.443715859457136,0.1102801149906685,0.323135881,ungrooved
unstamped,3,,95.20100969270933,25.33291619708271,0.12455256467410747,0.39090912600000005,ungrooved
