Stamp_Parameters,rep,location,mean_angle,stdd,goodness_of_fit
12pt5,1,R,63.83647816346611,9.387052849636747,0.9719752788275032
12pt5,1,R,63.83647816346611,9.387052849636747,0.9719752788275032
12pt5,1,L,93.51012866533404,9.47480604774104,0.9562049269324764
12pt5,1,center,95.3061967172234,10.224324372808647,0.9246003670317888
12pt5,1,top,93.6611111699172,7.98409128093324,0.9801781766217712
12pt5,1,bottom,84.08384650244446,6.258005114631046,0.9781218389348376
12pt5,2,R,90.02571482188463,7.332807695043581,0.9768932009920176
12pt5,2,L,94.6159598116136,12.588678738367792,0.9653251687320306
12pt5,2,center,84.88899398222121,6.346648503547955,0.9894533731336728
12pt5,2,top,82.92555447671036,6.544138124055892,0.971798405796547
12pt5,2,bottom,86.1385954534957,7.589339328843015,0.9582945817293308
12pt5,3,R,88.39621191271883,7.50305567414859,0.9777745083998872
12pt5,3,L,105.96356949545444,8.648943219670373,0.925375130082256
12pt5,3,center,96.86804202876488,7.626407838779448,0.9826695862383508
12pt5,3,top,92.57292597923004,5.153893566561294,0.9613758072820876
12pt5,3,bottom,94.48314926867629,6.814175834537105,0.9816305180839768
62pt5,1,R,29.282615035207435,9.144026304563754,0.8271369711617604
62pt5,1,L,83.30405455750582,12.725551544027276,0.9238023244430285
62pt5,1,center,88.2329200152588,16.51785012739422,0.9644238107784092
62pt5,1,top,87.28687924460708,7.907630903188949,0.9836560111958268
62pt5,1,bottom,93.23546642975144,7.175567238454732,0.9807714421846596
62pt5,2,R,81.45943672484252,5.862605653510531,0.9692085486543344
62pt5,2,L,82.0846312920436,10.209867688102436,0.9734067672760996
62pt5,2,center,87.71657273761117,12.517278522072855,0.9821723295826806
62pt5,2,top,95.70947390605302,9.225206045673009,0.9688593193308344
62pt5,2,bottom,80.62740384183896,13.652954271215917,0.9593540123312522
62pt5,3,R,95.36503292435984,5.36638001810512,0.9888265418536628
62pt5,3,L,161.82534106472323,10.353873029841663,0.9647372257811097
62pt5,3,center,76.23075293593533,18.741491575490848,0.9730448871907398
62pt5,3,top,96.09054918641328,6.080366018680655,0.9822127058331864
62pt5,3,bottom,92.67165006044598,6.73571695567516,0.9766880124405244
125,1,R,93.69992041467916,5.268242661882828,0.9717261807008044
125,1,L,85.19291358320277,10.58581168275636,0.9061755870829428
125,1,center,89.01685979183985,8.246302804420687,0.9749731514481196
125,1,top,89.47928691220964,15.412765613183533,0.9573662749789656
125,1,bottom,84.84510271750985,9.344611595175031,0.9893080914448684
125,2,R,90.40880416888184,9.382947648393891,0.91993766580868
125,2,L,92.56756498380489,7.231186426251182,0.969414201161366
125,2,center,122.1510030820753,8.724928585178676,0.951913471973338
125,2,top,87.15262562409099,6.000316277747556,0.9906766360735192
125,2,bottom,89.45335557237951,6.955881909992445,0.9885375807013989
125,3,R,81.80397881230745,7.666258695124244,0.9604285913501368
125,3,L,94.15959928941714,5.179017886789471,0.98255465423309
125,3,center,88.686118135971,7.53977680379985,0.9751264344487612
125,3,top,88.11646947920941,5.745650290204069,0.9868880420999432
125,3,bottom,89.18411867245919,8.862739515057525,0.9822719510016584
unstamped,1,R,0.7698925532163425,6.63309220325261,0.2481557050046783
unstamped,1,L,3.605627949239761,6.703440165061475,0.775061186732246
unstamped,1,center,175.54614139329533,6.460312426063616,0.4375414570621564
unstamped,1,top,131.17254237765414,12.403824734480953,0.93720423678757
unstamped,1,bottom,59.85309638889826,15.75888543020761,0.8840039599555077
unstamped,2,R,136.54749879824277,5.831304831634252,0.9639873090212364
unstamped,2,L,1.7115775038021446e-14,3.9726658768854266,0.2707439902572032
unstamped,2,center,99.41726406511728,7.836189317389526,0.9844915918646944
unstamped,2,top,65.48921456793617,11.599231358287655,0.8093871867379487
unstamped,2,bottom,81.36823864438851,18.15926536246589,0.7149317220937107
unstamped,3,R,98.67284264813792,14.581984427164798,0.8446725674564608
unstamped,3,L,116.19328003455146,8.211084887577439,0.9684802742960504
unstamped,3,center,75.58053664810461,5.8098704388527365,0.9819156708417576
unstamped,3,top,70.93577013016304,7.427553890867838,0.9733623792586608
unstamped,3,bottom,111.21890871884412,6.965560656699154,0.8434729311102148
flat,1,R,80.28659212362825,11.423514905906549,0.9688498801797528
flat,1,L,104.29543430028896,10.239749779860633,0.9079597017910752
flat,1,center,87.78977056992603,28.98426003519312,0.8225088520569198
flat,1,top,85.94275167795988,13.329493766322583,0.9745238767050974
flat,1,bottom,136.96604144358793,8.913074956092515,0.9604925255175414
flat,2,R,1.5835518957730678e-16,10.251517411479956,0.1459665640869286
flat,2,L,53.09004758531122,6.524803482944179,0.9746504105580532
flat,2,center,11.425745126375372,6.028199992659049,0.7136460231966469
flat,2,top,91.68747539073952,6.146653210422717,0.9779405306632404
flat,2,bottom,41.30357140222739,35.08951871952776,0.843411114207776
flat,3,R,149.3123726394861,14.788812243959647,0.6458566734522209
flat,3,L,29.912686234219223,28.26957502015909,0.433324262365001
flat,3,center,95.4636321330912,6.641723085237889,0.9702452059356054
flat,3,top,90.82814286160826,24.477267956260786,0.6634538393472043
flat,3,bottom,73.44351450385842,13.458081712724825,0.9253053097166073
