Direction (°),frame_0210,frame_0210-fit
0.000000000,0.022146775,0.014042416
2.022471910,0.019955446,0.014582150
4.044943820,0.019904265,0.015120795
6.067415730,0.020659142,0.015652581
8.089887640,0.017757501,0.016171457
10.112359551,0.017261728,0.016671203
12.134831461,0.016833879,0.017145545
14.157303371,0.015604595,0.017588284
16.179775281,0.014544535,0.017993435
18.202247191,0.015595649,0.018355355
20.224719101,0.015381499,0.018668875
22.247191011,0.016445730,0.018929421
24.269662921,0.015079027,0.019133130
26.292134831,0.016674453,0.019276940
28.314606742,0.016887247,0.019358668
30.337078652,0.018387921,0.019377066
32.359550562,0.015973065,0.019331853
34.382022472,0.014937732,0.019223720
36.404494382,0.016485671,0.019054315
38.426966292,0.014780605,0.018826199
40.449438202,0.015956897,0.018542784
42.471910112,0.015943316,0.018208245
44.494382022,0.018650705,0.017827421
46.516853933,0.017574526,0.017405697
48.539325843,0.017104215,0.016948876
50.561797753,0.019448728,0.016463051
52.584269663,0.020594621,0.015954467
54.606741573,0.022894891,0.015429392
56.629213483,0.025423489,0.014893988
58.651685393,0.022004598,0.014354199
60.674157303,0.023590494,0.013815647
62.696629213,0.023068958,0.013283541
64.719101124,0.020247155,0.012762604
66.741573034,0.015859700,0.012257020
68.764044944,0.011983626,0.011770398
70.786516854,0.008984567,0.011305747
72.808988764,0.007028430,0.010865474
74.831460674,0.005517931,0.010451397
76.853932584,0.004350303,0.010064766
78.876404494,0.004620015,0.009706299
80.898876404,0.003831086,0.009376229
82.921348315,0.003190131,0.009074353
84.943820225,0.002799754,0.008800085
86.966292135,0.002723737,0.008552521
88.988764045,0.003422765,0.008330489
91.011235955,0.003201083,0.008132613
93.033707865,0.002453307,0.007957363
95.056179775,0.002179419,0.007803108
97.078651685,0.002304801,0.007668160
99.101123596,0.002573901,0.007550813
101.123595506,0.002877215,0.007449383
103.146067416,0.002172371,0.007362230
105.168539326,0.002115289,0.007287785
107.191011236,0.002041078,0.007224566
109.213483146,0.002123448,0.007171192
111.235955056,0.002249390,0.007126390
113.258426966,0.002144734,0.007088999
115.280898876,0.002024840,0.007057970
117.303370787,0.002143560,0.007032367
119.325842697,0.002072519,0.007011361
121.348314607,0.001979236,0.006994224
123.370786517,0.002136901,0.006980320
125.393258427,0.002199382,0.006969103
127.415730337,0.002555821,0.006960104
129.438202247,0.002705317,0.006952925
131.460674157,0.002913731,0.006947228
133.483146067,0.003043104,0.006942733
135.505617978,0.003394509,0.006939206
137.528089888,0.003321805,0.006936453
139.550561798,0.003502898,0.006934317
141.573033708,0.004635057,0.006932667
143.595505618,0.005748840,0.006931401
145.617977528,0.008016187,0.006930434
147.640449438,0.010563170,0.006929700
149.662921348,0.010436296,0.006929145
151.685393258,0.014214927,0.006928729
153.707865169,0.012882649,0.006928417
155.730337079,0.011785231,0.006928186
157.752808989,0.013628618,0.006928015
159.775280899,0.013421257,0.006927889
161.797752809,0.012807357,0.006927797
163.820224719,0.012564141,0.006927730
165.842696629,0.013946916,0.006927682
167.865168539,0.015876232,0.006927647
169.887640449,0.013215058,0.006927622
171.910112360,0.013502608,0.006927604
173.932584270,0.015318026,0.006927591
175.955056180,0.017076654,0.006927583
177.977528090,0.017673238,0.006927576
180.000000000,0.022146775,0.006927572
