Direction (°),C:/Users/laSch/Desktop/RamanLab/RamanlabCode/AlignmentCode2024/IrisAlignmentStudy/Iris_Flor_boundary,C:/Users/laSch/Desktop/RamanLab/RamanlabCode/AlignmentCode2024/IrisAlignmentStudy/Iris_Flor_boundary-fit
0.000000000,0.015805887,0.015489508
1.011235955,0.015420886,0.015291829
2.022471910,0.014703225,0.015099906
3.033707865,0.014935816,0.014913569
4.044943820,0.013849093,0.014732659
5.056179775,0.013915306,0.014557015
6.067415730,0.014507373,0.014386487
7.078651685,0.014906880,0.014220923
8.089887640,0.014422482,0.014060181
9.101123596,0.014763092,0.013904120
10.112359551,0.013957829,0.013752605
11.123595506,0.014572358,0.013605501
12.134831461,0.013248398,0.013462683
13.146067416,0.013430661,0.013324024
14.157303371,0.013127057,0.013189403
15.168539326,0.013090627,0.013058704
16.179775281,0.012899360,0.012931813
17.191011236,0.012639307,0.012808618
18.202247191,0.012587513,0.012689011
19.213483146,0.012752410,0.012572890
20.224719101,0.012287175,0.012460151
21.235955056,0.012478690,0.012350697
22.247191011,0.012701401,0.012244433
23.258426966,0.012476539,0.012141264
24.269662921,0.011843448,0.012041102
25.280898876,0.011603806,0.011943859
26.292134831,0.012008638,0.011849449
27.303370787,0.011467264,0.011757791
28.314606742,0.010843169,0.011668805
29.325842697,0.010650386,0.011582411
30.337078652,0.011515752,0.011498536
31.348314607,0.011141981,0.011417106
32.359550562,0.011091111,0.011338049
33.370786517,0.010593779,0.011261297
34.382022472,0.010403296,0.011186782
35.393258427,0.010578813,0.011114439
36.404494382,0.011220694,0.011044205
37.415730337,0.010914943,0.010976019
38.426966292,0.011218820,0.010909822
39.438202247,0.010015193,0.010845554
40.449438202,0.009971679,0.010783160
41.460674157,0.010746746,0.010722585
42.471910112,0.010391896,0.010663777
43.483146067,0.010593991,0.010606684
44.494382022,0.010363049,0.010551256
45.505617978,0.010603902,0.010497444
46.516853933,0.009748121,0.010445202
47.528089888,0.010477109,0.010394484
48.539325843,0.010909963,0.010345245
49.550561798,0.011126111,0.010297442
50.561797753,0.010690872,0.010251033
51.573033708,0.009845794,0.010205979
52.584269663,0.009716929,0.010162238
53.595505618,0.010033542,0.010119774
54.606741573,0.010612379,0.010078549
55.617977528,0.010442101,0.010038526
56.629213483,0.010286392,0.009999671
57.640449438,0.009630346,0.009961950
58.651685393,0.010209744,0.009925330
59.662921348,0.009832706,0.009889778
60.674157303,0.009237667,0.009855264
61.685393258,0.010229821,0.009821757
62.696629213,0.010009610,0.009789227
63.707865169,0.011109628,0.009757647
64.719101124,0.010335570,0.009726989
65.730337079,0.010097133,0.009697226
66.741573034,0.009255966,0.009668332
67.752808989,0.009455150,0.009640280
68.764044944,0.010808838,0.009613048
69.775280899,0.011335850,0.009586611
70.786516854,0.011591889,0.009560945
71.797752809,0.010484120,0.009536029
72.808988764,0.010868229,0.009511841
73.820224719,0.011007475,0.009488358
74.831460674,0.010393571,0.009465561
75.842696629,0.009780263,0.009443430
76.853932584,0.009490464,0.009421945
77.865168539,0.009201326,0.009401088
78.876404494,0.009807013,0.009380839
79.887640449,0.009224248,0.009361182
80.898876404,0.008349288,0.009342099
81.910112360,0.008433704,0.009323574
82.921348315,0.008245556,0.009305589
83.932584270,0.008251452,0.009288130
84.943820225,0.008571221,0.009271181
85.955056180,0.008111678,0.009254727
86.966292135,0.008246619,0.009238753
87.977528090,0.007744474,0.009223246
88.988764045,0.007630995,0.009208193
90.000000000,0.009867353,0.009193579
