Direction (°),C:/Users/laSch/Desktop/RamanLab/RamanlabCode/AlignmentCode2024/IrisAlignmentStudy/Iris_Flor_radial,C:/Users/laSch/Desktop/RamanLab/RamanlabCode/AlignmentCode2024/IrisAlignmentStudy/Iris_Flor_radial-fit
0.000000000,0.027838693,0.025537114
1.011235955,0.022428213,0.025575590
2.022471910,0.023815627,0.025546359
3.033707865,0.025514399,0.025449727
4.044943820,0.025256674,0.025286706
5.056179775,0.024943311,0.025058992
6.067415730,0.023440676,0.024768940
7.078651685,0.025683020,0.024419522
8.089887640,0.025360171,0.024014275
9.101123596,0.023858776,0.023557243
10.112359551,0.024239449,0.023052909
11.123595506,0.025360193,0.022506124
12.134831461,0.022537136,0.021922025
13.146067416,0.021646635,0.021305959
14.157303371,0.021869660,0.020663404
15.168539326,0.018984182,0.019999881
16.179775281,0.018979791,0.019320886
17.191011236,0.017956097,0.018631809
18.202247191,0.018067211,0.017937872
19.213483146,0.016648900,0.017244059
20.224719101,0.014765956,0.016555069
21.235955056,0.015464438,0.015875267
22.247191011,0.015102721,0.015208642
23.258426966,0.013471155,0.014558785
24.269662921,0.012957250,0.013928862
25.280898876,0.012396857,0.013321602
26.292134831,0.012073501,0.012739299
27.303370787,0.011219026,0.012183810
28.314606742,0.011384183,0.011656567
29.325842697,0.010821608,0.011158598
30.337078652,0.010577091,0.010690542
31.348314607,0.010574797,0.010252682
32.359550562,0.010245873,0.009844972
33.370786517,0.009907248,0.009467071
34.382022472,0.009517809,0.009118377
35.393258427,0.009248021,0.008798061
36.404494382,0.008922976,0.008505104
37.415730337,0.008958955,0.008238331
38.426966292,0.008305289,0.007996443
39.438202247,0.008284447,0.007778049
40.449438202,0.008701507,0.007581697
41.460674157,0.008239101,0.007405897
42.471910112,0.007635705,0.007249150
43.483146067,0.007666094,0.007109965
44.494382022,0.008457264,0.006986876
45.505617978,0.007843832,0.006878463
46.516853933,0.007382364,0.006783361
47.528089888,0.007751006,0.006700268
48.539325843,0.006909523,0.006627957
49.550561798,0.006918075,0.006565278
50.561797753,0.007326922,0.006511161
51.573033708,0.007047759,0.006464621
52.584269663,0.006848440,0.006424751
53.595505618,0.006781741,0.006390730
54.606741573,0.006799058,0.006361812
55.617977528,0.007329289,0.006337325
56.629213483,0.007055650,0.006316671
57.640449438,0.006852832,0.006299316
58.651685393,0.006658838,0.006284789
59.662921348,0.006576631,0.006272676
60.674157303,0.006233499,0.006262613
61.685393258,0.006460713,0.006254286
62.696629213,0.006381806,0.006247421
63.707865169,0.006531760,0.006241782
64.719101124,0.006486737,0.006237168
65.730337079,0.006170739,0.006233407
66.741573034,0.006103867,0.006230353
67.752808989,0.006229243,0.006227882
68.764044944,0.005865800,0.006225890
69.775280899,0.005833330,0.006224290
70.786516854,0.005771533,0.006223010
71.797752809,0.005858000,0.006221990
72.808988764,0.005831789,0.006221180
73.820224719,0.005874451,0.006220539
74.831460674,0.005850710,0.006220033
75.842696629,0.005803579,0.006219636
76.853932584,0.005579892,0.006219326
77.865168539,0.005477309,0.006219084
78.876404494,0.005897431,0.006218895
79.887640449,0.005461283,0.006218750
80.898876404,0.005577590,0.006218638
81.910112360,0.005538079,0.006218551
82.921348315,0.005177883,0.006218485
83.932584270,0.005666612,0.006218435
84.943820225,0.005611893,0.006218397
85.955056180,0.005626000,0.006218368
86.966292135,0.005275115,0.006218346
87.977528090,0.005157589,0.006218329
88.988764045,0.004987626,0.006218317
90.000000000,0.006268497,0.006218308
